GEOID,under_18,over_65,median_age,male_over65,female_over65,white,black,asian,hispanic,male,female,less_than_9th,bach,high_school,poverty,median_income,uninsured,CountyFIPS,StateAbbr,per_arthritis,per_HighBP,per_cancer,per_asthma,per_heartDisease,per_copd,per_smoking,per_depression,per_diabetes,per_highChol,per_obesity,per_stroke,Food_Environment_Index,primCare100k,per_rural
0500000US48487,22.5,18.9,39.5,47.5,52.5,66.7,6.2,2.9,29.9,48.1,51.9,7.6,17.4,49.2,18.8,51626,10.6,48487,TX,28.6,40.3,7.7,10.5,8.5,9.9,18.2,23.7,16.5,38.5,39.6,4.7,5.5,0.000318674,21.89139269
0500000US48489,23.9,14.6,33.7,44.3,55.7,56.8,1.4,0,87.2,54.1,45.9,17.8,12.2,47.1,24.6,45645,26.5,48489,TX,22.3,36.5,4.6,8.9,7.7,7.2,16.4,19.5,18.8,36.4,43.2,4.2,4.4,0.000378054,34.57576579
0500000US48491,24.5,12.8,37.2,44.3,55.7,63.8,6.9,9,24.5,49.7,50.3,2.8,47.4,41.1,6.3,108309,9.5,48491,TX,19.6,29.2,6.6,9,4.5,4.3,9.9,20.4,9.8,32.8,32.6,2.4,7.8,0.000679771,11.98994982
0500000US48493,23.5,16.7,40.1,47.7,52.3,72.1,1.8,0.5,39.5,50.2,49.8,5.2,26.3,47.3,9.8,92461,11.3,48493,TX,24.8,34.2,7.5,9.4,6.3,6.1,12.4,20.9,13.1,37.8,35.3,3.3,8.4,0.00042289,85.86141013
0500000US48495,28.4,13.4,35.3,45.2,54.8,58.2,4.3,0.9,61.8,53.6,46.4,11.4,10,60.4,12,91898,18,48495,TX,21.8,33.8,5.6,9.2,6.1,6,14.1,20.5,14.1,35.9,37.6,3.3,8.2,0.000253582,18.12939522
0500000US48497,24.6,15.4,40,47.7,52.3,84.4,1.5,0.7,20.6,50.5,49.5,5.9,20.6,44.9,9.1,89897,15,48497,TX,25.7,34.5,7.9,10.1,6.4,7.2,14.8,23.5,11.9,36.8,34.1,3.4,7.7,0.0003939,72.10749742
0500000US48499,18.9,27.1,48.4,47.4,52.6,84.2,4,0.6,11.2,49.9,50.1,4.5,22.3,46.3,12.6,62524,15.2,48499,TX,31.7,41.2,10.5,10.3,8.8,9.3,14.8,23.2,14.6,41.3,34.3,4.5,6.8,0.000367242,74.1993137
0500000US48501,32.4,11.5,33,44.8,55.2,58.8,0.1,0.9,65.2,52.4,47.6,17.4,14.2,16.7,12,82261,21.2,48501,TX,21.6,32.6,5.8,9.2,6,5.8,12.9,20.9,13.5,35.5,37.6,3.2,7.5,0.000229832,37.32707196
0500000US48503,23.8,21,40.7,45.9,54.1,83.2,1.7,0.3,20.2,49.8,50.2,4.8,23.6,59.3,16.7,63723,20.2,48503,TX,28.2,38.1,9,10,7.5,8.1,14.5,23.4,13.4,38.9,37.1,3.9,6.6,0.000893655,33.56873315
0500000US48505,32.2,13.5,31.5,46.7,53.3,39.5,0.3,0.8,93.9,49.9,50.1,19.4,13.3,40.5,37.4,36527,27.7,48505,TX,23.4,38.2,4.7,9.2,8.4,7.8,17.1,20.4,20.8,38,43.7,4.6,5.6,7.06E-05,23.53402768
0500000US48507,29.5,15.4,32.5,46.6,53.4,36.4,0.8,0.8,92.6,52.7,47.3,14.9,9.6,24.1,36.3,41887,13.1,48507,TX,24.8,40.6,4.7,9.4,9,8.4,18,20.8,22.6,38.9,47.5,4.9,3.9,8.45E-05,38.03202877
0500000US49001,29.9,14.7,34.4,53.1,46.9,90.8,0.2,0,14.7,53,47,3.5,22.7,46.4,7.5,85603,19.9,49001,UT,24.6,29.6,8.3,10.5,5.7,5.5,9.3,25.3,9.8,32.9,28.5,3,8.7,0.000887443,56.52436265
0500000US49003,30.9,12.8,32.9,48.9,51.1,89.3,0.4,0.9,9.9,51.2,48.8,2.6,26.7,50.1,8.6,77865,7.9,49003,UT,23.3,28.9,7.8,11.1,5.4,5.6,9.8,26.5,9.3,31,32.6,2.9,8.3,0.000298209,31.09954977
0500000US49005,29.7,9.9,25.9,47.6,52.4,85.4,0.8,1.9,11.5,50.1,49.9,2.5,40.4,27.7,13.1,78292,6.8,49005,UT,20.1,24.6,6.4,10.5,4.3,4.6,8.1,27.7,7.8,28.2,27.9,2.4,7.8,0.000430756,15.68757989
